tau1,tau2,tau3,fidelity
1.0,1.0,1.0,0.6368212336518467
0.92,0.92,0.8400000000000001,0.6818337772758929
0.82,0.82,0.6799999999999999,0.7080048461096105
0.74,0.74,0.56,0.7488372629064648
0.6599999999999999,0.6599999999999999,0.43999999999999995,0.7920442891460456
0.6,0.6,0.35999999999999993,0.8046014224689765
0.5,0.5,0.24,0.8468861375516655
0.4000000000000001,0.4000000000000001,0.1600000000000001,0.87210963203434
0.3400000000000001,0.3400000000000001,0.12000000000000005,0.8962166983510983
0.26,0.26,0.08000000000000002,0.9225256651210894
0.18,0.18,0.040000000000000036,0.9292612691625988
0.08000000000000002,0.08000000000000002,0.0,0.9493262452127015
0.0,0.0,0.0,0.9404514330989229
-0.07999999999999996,-0.07999999999999996,0.0,0.9165367400752645
-0.16000000000000003,-0.16000000000000003,0.040000000000000036,0.8850510362119481
-0.24,-0.24,0.08000000000000002,0.8782077617121488
-0.31999999999999995,-0.31999999999999995,0.12000000000000005,0.847234758910108
-0.41999999999999993,-0.41999999999999993,0.1600000000000001,0.8322856362008061
-0.5000000000000001,-0.5000000000000001,0.24,0.7986703783252367
-0.5800000000000001,-0.5800000000000001,0.35999999999999993,0.7599905717513955
-0.6599999999999999,-0.6599999999999999,0.43999999999999995,0.7329681161467428
-0.76,-0.76,0.56,0.6779501880853506
-0.84,-0.84,0.6799999999999999,0.6565174812910222
-0.92,-0.92,0.8400000000000001,0.5997940969181607
-1.0,-1.0,1.0,0.5577067550499277
