tau1,tau2,tau3,fidelity
-1.0,-1.0,1.0,0.5564711757474297
-1.0,-0.75,0.75,0.6369345942958669
-1.0,-0.5,0.5,0.6736260288678853
-1.0,-0.25,0.25,0.6834878253349326
-1.0,0.0,0.0,0.6874955458011501
-1.0,0.25,-0.25,0.6989243852874467
-1.0,0.5,-0.5,0.7172847131491312
-1.0,0.75,-0.75,0.6638584586006129
-1.0,1.0,-1.0,0.5958701213904877
-0.75,-1.0,0.75,0.6289552457688692
-0.75,-0.75,0.5,0.6890903907101338
-0.75,-0.75,0.75,0.6670430848220231
-0.75,-0.75,1.0,0.6244462614703024
-0.75,-0.5,0.25,0.7418791354401904
-0.75,-0.5,0.5,0.7379398144217184
-0.75,-0.5,0.75,0.7031672116595347
-0.75,-0.25,0.0,0.749758535093577
-0.75,-0.25,0.25,0.7467916273409041
-0.75,-0.25,0.5,0.7475775031160521
-0.75,0.0,-0.25,0.7671376866496192
-0.75,0.0,0.0,0.7589235516282422
-0.75,0.0,0.25,0.7609531888082061
-0.75,0.25,-0.5,0.7685964348491218
-0.75,0.25,-0.25,0.7724422354295571
-0.75,0.25,0.0,0.7696987682291947
-0.75,0.5,-0.75,0.7307220741156008
-0.75,0.5,-0.5,0.7545559075205027
-0.75,0.5,-0.25,0.7717208615760253
-0.75,0.75,-1.0,0.6615404665754268
-0.75,0.75,-0.75,0.6942226983462294
-0.75,0.75,-0.5,0.7207147461723231
-0.75,1.0,-0.75,0.658285512501202
-0.5,-1.0,0.5,0.6870158558128632
-0.5,-0.75,0.25,0.7609756105775431
-0.5,-0.75,0.5,0.7318858239315664
-0.5,-0.75,0.75,0.6919017694923124
-0.5,-0.5,0.0,0.8040076328162788
-0.5,-0.5,0.25,0.7951263865484031
-0.5,-0.5,0.5,0.7676210242907127
-0.5,-0.5,0.75,0.7370690732639433
-0.5,-0.5,1.0,0.6976000738211966
-0.5,-0.25,-0.25,0.8156405722824684
-0.5,-0.25,0.0,0.8295415562387075
-0.5,-0.25,0.25,0.8065465666168897
-0.5,-0.25,0.5,0.802555306116974
-0.5,-0.25,0.75,0.7725201091729319
-0.5,0.0,-0.5,0.8271516642638181
-0.5,0.0,-0.25,0.8283998298575237
-0.5,0.0,0.0,0.8236940473959081
-0.5,0.0,0.25,0.8174273132152317
-0.5,0.0,0.5,0.8116684949561643
-0.5,0.25,-0.75,0.7828481880869121
-0.5,0.25,-0.5,0.8116339818817375
-0.5,0.25,-0.25,0.8307497945459328
-0.5,0.25,0.0,0.8215923240381312
-0.5,0.25,0.25,0.8257803832340085
-0.5,0.5,-1.0,0.7173965506027193
-0.5,0.5,-0.75,0.7436412746230798
-0.5,0.5,-0.5,0.7872650798061814
-0.5,0.5,-0.25,0.8145557584014953
-0.5,0.5,0.0,0.8329665879367473
-0.5,0.75,-0.75,0.7230227113736698
-0.5,0.75,-0.5,0.7642160616528584
-0.5,0.75,-0.25,0.7785199741674464
-0.5,1.0,-0.5,0.7289216182149814
-0.25,-1.0,0.25,0.7057762279691826
-0.25,-0.75,0.0,0.7713186505832568
-0.25,-0.75,0.25,0.7764409992366926
-0.25,-0.75,0.5,0.7612541146442684
-0.25,-0.5,-0.25,0.8396911702117831
-0.25,-0.5,0.0,0.8341727529719378
-0.25,-0.5,0.25,0.8339739576094715
-0.25,-0.5,0.5,0.8011473816468628
-0.25,-0.5,0.75,0.7500735319501726
-0.25,-0.25,-0.5,0.8491649649294328
-0.25,-0.25,-0.25,0.875093519183344
-0.25,-0.25,0.0,0.876986098192656
-0.25,-0.25,0.25,0.8611055226818984
-0.25,-0.25,0.5,0.8179560176313458
-0.25,-0.25,0.75,0.7954108580626319
-0.25,-0.25,1.0,0.7317188341479004
-0.25,0.0,-0.75,0.7734494118403531
-0.25,0.0,-0.5,0.8401436981856766
-0.25,0.0,-0.25,0.8912894079081463
-0.25,0.0,0.0,0.889401159773253
-0.25,0.0,0.25,0.8824308238252088
-0.25,0.0,0.5,0.846981018150667
-0.25,0.0,0.75,0.804601468800948
-0.25,0.25,-1.0,0.7099111974544895
-0.25,0.25,-0.75,0.7692461878570582
-0.25,0.25,-0.5,0.8306984509491798
-0.25,0.25,-0.25,0.8839268396804875
-0.25,0.25,0.0,0.8961271534161419
-0.25,0.25,0.25,0.8850383857817159
-0.25,0.25,0.5,0.8444562592342074
-0.25,0.5,-0.75,0.7681133873463233
-0.25,0.5,-0.5,0.8191490813571777
-0.25,0.5,-0.25,0.8553382454248346
-0.25,0.5,0.0,0.861907754213047
-0.25,0.5,0.25,0.8722751865654037
-0.25,0.75,-0.5,0.7748464013474694
-0.25,0.75,-0.25,0.7996679910909056
-0.25,0.75,0.0,0.7908092933489501
-0.25,1.0,-0.25,0.7306213304648337
0.0,-1.0,0.0,0.7089580215171598
0.0,-0.75,-0.25,0.7907165658525084
0.0,-0.75,0.0,0.7801666400836145
0.0,-0.75,0.25,0.7762987777356971
0.0,-0.5,-0.5,0.8377693742306328
0.0,-0.5,-0.25,0.8567372445230992
0.0,-0.5,0.0,0.8345535226414642
0.0,-0.5,0.25,0.8331135767873391
0.0,-0.5,0.5,0.8278659147101135
0.0,-0.25,-0.75,0.7754458309289644
0.0,-0.25,-0.5,0.8459753025069142
0.0,-0.25,-0.25,0.9054653516001248
0.0,-0.25,0.0,0.9071058131246508
0.0,-0.25,0.25,0.8929884648725755
0.0,-0.25,0.5,0.8398160068394092
0.0,-0.25,0.75,0.7920264186311288
0.0,0.0,-1.0,0.7321528155471664
0.0,0.0,-0.75,0.7740552732103054
0.0,0.0,-0.5,0.8395745793208131
0.0,0.0,-0.25,0.9126737674011464
0.0,0.0,0.0,0.9427590841995783
0.0,0.0,0.25,0.9068299638490182
0.0,0.0,0.5,0.8506354016903025
0.0,0.0,0.75,0.7930469148369063
0.0,0.0,1.0,0.7368693034309974
0.0,0.25,-0.75,0.7884428011408472
0.0,0.25,-0.5,0.8308100378314731
0.0,0.25,-0.25,0.8944283351009236
0.0,0.25,0.0,0.9117106252370183
0.0,0.25,0.25,0.9111239418172925
0.0,0.25,0.5,0.8367584334112056
0.0,0.25,0.75,0.7860167186677762
0.0,0.5,-0.5,0.8478526261157466
0.0,0.5,-0.25,0.8531152339498703
0.0,0.5,0.0,0.8501659078090082
0.0,0.5,0.25,0.8553264975355097
0.0,0.5,0.5,0.8623899858463677
0.0,0.75,-0.25,0.7925082414701451
0.0,0.75,0.0,0.7849431880289506
0.0,0.75,0.25,0.8123824856385242
0.0,1.0,0.0,0.7310441789746569
0.25,-1.0,-0.25,0.7264142165197575
0.25,-0.75,-0.5,0.8000552232089145
0.25,-0.75,-0.25,0.7851674471749699
0.25,-0.75,0.0,0.7893482110393933
0.25,-0.5,-0.75,0.8001837591385925
0.25,-0.5,-0.5,0.8456602947146608
0.25,-0.5,-0.25,0.8492862791608146
0.25,-0.5,0.0,0.8483114937775523
0.25,-0.5,0.25,0.8410000387234554
0.25,-0.25,-1.0,0.7116052521318376
0.25,-0.25,-0.75,0.7730476148463475
0.25,-0.25,-0.5,0.8613340076900641
0.25,-0.25,-0.25,0.8799149941634793
0.25,-0.25,0.0,0.9014715446370795
0.25,-0.25,0.25,0.8875343810025067
0.25,-0.25,0.5,0.8272798318997872
0.25,0.0,-0.75,0.7882045802719568
0.25,0.0,-0.5,0.8350310121727778
0.25,0.0,-0.25,0.9117920728125595
0.25,0.0,0.0,0.9438298358760212
0.25,0.0,0.25,0.9021278295531756
0.25,0.0,0.5,0.8463866081244669
0.25,0.0,0.75,0.7908359597993343
0.25,0.25,-0.5,0.8471956902466335
0.25,0.25,-0.25,0.8955917607420587
0.25,0.25,0.0,0.9247149446751393
0.25,0.25,0.25,0.908681357725934
0.25,0.25,0.5,0.8575859133737979
0.25,0.25,0.75,0.7740268848615421
0.25,0.25,1.0,0.7115255149763717
0.25,0.5,-0.25,0.8471051886776115
0.25,0.5,0.0,0.8698706280790529
0.25,0.5,0.25,0.8573612160848743
0.25,0.5,0.5,0.8570536125228015
0.25,0.5,0.75,0.7976229049432255
0.25,0.75,0.0,0.7825579270749806
0.25,0.75,0.25,0.7993353047687453
0.25,0.75,0.5,0.7885108508855698
0.25,1.0,0.25,0.740077300558174
0.5,-1.0,-0.5,0.7453325634343618
0.5,-0.75,-0.75,0.7780890954658276
0.5,-0.75,-0.5,0.8011561110795747
0.5,-0.75,-0.25,0.7911610263230773
