lambda1, lambda2, lambda3, fidelidad
-1.0,-1.0,1.0,0.3330749999999999
-1.0,-0.75,0.75,0.5123498197247884
-1.0,-0.5,0.5,0.5551255807938615
-1.0,-0.25,0.25,0.5599931985316035
-1.0,0.0,0.0,0.5411973099040273
-1.0,0.25,-0.25,0.6072830104102738
-1.0,0.5,-0.5,0.5897265103887528
-1.0,0.75,-0.75,0.53016580664734
-1.0,1.0,-1.0,0.4446250000000001
-0.75,-1.0,0.75,0.49558141546714973
-0.75,-0.75,0.5,0.5983800735151339
-0.75,-0.75,0.75,0.7461138388481164
-0.75,-0.75,1.0,0.5142558317573359
-0.75,-0.5,0.25,0.7277778625192162
-0.75,-0.5,0.5,0.8660420815099054
-0.75,-0.5,0.75,0.6791604738813762
-0.75,-0.25,0.0,0.6927930241319048
-0.75,-0.25,0.25,0.8422099742509845
-0.75,-0.25,0.5,0.7605424004198199
-0.75,0.0,-0.25,0.7220114870914209
-0.75,0.0,0.0,0.8378241536239704
-0.75,0.0,0.25,0.7557647458599972
-0.75,0.25,-0.5,0.7189855798929627
-0.75,0.25,-0.25,0.8369689986612266
-0.75,0.25,0.0,0.6780198031518022
-0.75,0.5,-0.75,0.7164972371302755
-0.75,0.5,-0.5,0.8226976281343718
-0.75,0.5,-0.25,0.7141072569669539
-0.75,0.75,-1.0,0.5347361532527558
-0.75,0.75,-0.75,0.7756643595884071
-0.75,0.75,-0.5,0.7371494836634079
-0.75,1.0,-0.75,0.5178611258216846
-0.5,-1.0,0.5,0.56188848942056
-0.5,-0.75,0.25,0.7280984974337865
-0.5,-0.75,0.5,0.7551437731573036
-0.5,-0.75,0.75,0.6542768444213721
-0.5,-0.5,0.0,0.7007653790579282
-0.5,-0.5,0.25,0.8932671535113157
-0.5,-0.5,0.5,0.8743549675706712
-0.5,-0.5,0.75,0.823109313758298
-0.5,-0.5,1.0,0.5630123720341996
-0.5,-0.25,-0.25,0.8192488039356021
-0.5,-0.25,0.0,0.8849961801521945
-0.5,-0.25,0.25,0.9477253213070994
-0.5,-0.25,0.5,0.8741797306646939
-0.5,-0.25,0.75,0.7377238858370192
-0.5,0.0,-0.5,0.7873738531291774
-0.5,0.0,-0.25,0.8925763890097672
-0.5,0.0,0.0,0.9480589534023671
-0.5,0.0,0.25,0.9308611259233216
-0.5,0.0,0.5,0.7973014859556757
-0.5,0.25,-0.75,0.7244177786529833
-0.5,0.25,-0.5,0.9349211248718745
-0.5,0.25,-0.25,0.9394966651601389
-0.5,0.25,0.0,0.9349531929181883
-0.5,0.25,0.25,0.7942458173044709
-0.5,0.5,-1.0,0.5597835343766018
-0.5,0.5,-0.75,0.8623265253655162
-0.5,0.5,-0.5,0.9282899903614515
-0.5,0.5,-0.25,0.9244175079075104
-0.5,0.5,0.0,0.765589962738526
-0.5,0.75,-0.75,0.7112812449784706
-0.5,0.75,-0.5,0.832617651784034
-0.5,0.75,-0.25,0.7195396601663896
-0.5,1.0,-0.5,0.6004345053356486
-0.25,-1.0,0.25,0.5635801874890073
-0.25,-0.75,0.0,0.7160041305389979
-0.25,-0.75,0.25,0.8647070821179819
-0.25,-0.75,0.5,0.7280385132619643
-0.25,-0.5,-0.25,0.8273724784405079
-0.25,-0.5,0.0,0.9152299122166652
-0.25,-0.5,0.25,0.9041532860769514
-0.25,-0.5,0.5,0.8946530577352756
-0.25,-0.5,0.75,0.7324655305525296
-0.25,-0.25,-0.5,0.781169121661832
-0.25,-0.25,-0.25,0.9435753565260127
-0.25,-0.25,0.0,0.9645636618621
-0.25,-0.25,0.25,0.9627068628794727
