lambda1, lambda2, lambda3, fidelidad
-1.0,-1.0,1.0,0.8360665768477851
-1.0,-0.75,0.75,0.772545567293723
-1.0,-0.5,0.5,0.7258168230148746
-1.0,-0.25,0.25,0.7185968350309668
-1.0,0.0,0.0,0.7402460203755582
-1.0,0.25,-0.25,0.7131167165612211
-1.0,0.5,-0.5,0.7250009622267916
-1.0,0.75,-0.75,0.7620908047576302
-1.0,1.0,-1.0,0.786979129277526
-0.75,-1.0,0.75,0.7876278342900385
-0.75,-0.75,0.5,0.7507793056596133
-0.75,-0.75,0.75,0.746777570489593
-0.75,-0.75,1.0,0.7805689364683197
-0.75,-0.5,0.25,0.6750153982724303
-0.75,-0.5,0.5,0.6697027977181714
-0.75,-0.5,0.75,0.7363154148946722
-0.75,-0.25,0.0,0.6976573274605153
-0.75,-0.25,0.25,0.6882966488320075
-0.75,-0.25,0.5,0.6650038614684145
-0.75,0.0,-0.25,0.6959388262108873
-0.75,0.0,0.0,0.7007377180047469
-0.75,0.0,0.25,0.6702626079850655
-0.75,0.25,-0.5,0.6880126640195448
-0.75,0.25,-0.25,0.6867818339786448
-0.75,0.25,0.0,0.7115946235015728
-0.75,0.5,-0.75,0.683522854955096
-0.75,0.5,-0.5,0.6983329527377844
-0.75,0.5,-0.25,0.6835555919301097
-0.75,0.75,-1.0,0.7630180343085662
-0.75,0.75,-0.75,0.734626842902063
-0.75,0.75,-0.5,0.6851584122396905
-0.75,1.0,-0.75,0.7714153756179387
-0.5,-1.0,0.5,0.742827200810662
-0.5,-0.75,0.25,0.659673298582671
-0.5,-0.75,0.5,0.721196770939796
-0.5,-0.75,0.75,0.730175518720049
-0.5,-0.5,0.0,0.6706288647896855
-0.5,-0.5,0.25,0.636038986378898
-0.5,-0.5,0.5,0.6746359548834817
-0.5,-0.5,0.75,0.6997122091165641
-0.5,-0.5,1.0,0.7267997572661148
-0.5,-0.25,-0.25,0.607702223558665
-0.5,-0.25,0.0,0.6418978825769805
-0.5,-0.25,0.25,0.6053301020271299
-0.5,-0.25,0.5,0.6477035001180683
-0.5,-0.25,0.75,0.6835410150229789
-0.5,0.0,-0.5,0.638524253425385
-0.5,0.0,-0.25,0.6450898189757466
-0.5,0.0,0.0,0.6190753907534545
-0.5,0.0,0.25,0.610519239944468
-0.5,0.0,0.5,0.6188248975070474
-0.5,0.25,-0.75,0.6866719912342806
-0.5,0.25,-0.5,0.6170391322750202
-0.5,0.25,-0.25,0.6174751859814038
-0.5,0.25,0.0,0.603734687667487
-0.5,0.25,0.25,0.6317389817654376
-0.5,0.5,-1.0,0.7707308453853783
-0.5,0.5,-0.75,0.6718373100022692
-0.5,0.5,-0.5,0.6374312894095483
-0.5,0.5,-0.25,0.6191192302631069
-0.5,0.5,0.0,0.6235091510435805
-0.5,0.75,-0.75,0.6902843032695177
-0.5,0.75,-0.5,0.689171863851335
-0.5,0.75,-0.25,0.6814549453908665
-0.5,1.0,-0.5,0.7040037376789123
-0.25,-1.0,0.25,0.7402598313790141
-0.25,-0.75,0.0,0.702135873598501
-0.25,-0.75,0.25,0.672790183955472
-0.25,-0.75,0.5,0.660546782915113
-0.25,-0.5,-0.25,0.6284752802762343
-0.25,-0.5,0.0,0.634821518556489
-0.25,-0.5,0.25,0.6448049197958621
-0.25,-0.5,0.5,0.642853140123728
-0.25,-0.5,0.75,0.6594949866176882
-0.25,-0.25,-0.5,0.6248319038742135
-0.25,-0.25,-0.25,0.5898169314130907
-0.25,-0.25,0.0,0.5892175502242478
-0.25,-0.25,0.25,0.5927505298399074
-0.25,-0.25,0.5,0.60257054800618
-0.25,-0.25,0.75,0.6583818158554746
-0.25,-0.25,1.0,0.704203126588889
-0.25,0.0,-0.75,0.6978669337484531
-0.25,0.0,-0.5,0.6194624362979655
-0.25,0.0,-0.25,0.5804966470859477
-0.25,0.0,0.0,0.6002122757072099
-0.25,0.0,0.25,0.5750490547257587
-0.25,0.0,0.5,0.6114283465256597
-0.25,0.0,0.75,0.6604162553908264
-0.25,0.25,-1.0,0.7379865844427307
-0.25,0.25,-0.75,0.6602226080784817
-0.25,0.25,-0.5,0.6243274603323303
-0.25,0.25,-0.25,0.5806645173264908
-0.25,0.25,0.0,0.5767977868017016
-0.25,0.25,0.25,0.573920152299703
-0.25,0.25,0.5,0.6221238164213105
-0.25,0.5,-0.75,0.6636823781615397
-0.25,0.5,-0.5,0.653829553321718
-0.25,0.5,-0.25,0.6120084263676249
-0.25,0.5,0.0,0.6140009076271506
-0.25,0.5,0.25,0.6145792965959239
-0.25,0.75,-0.5,0.6738644973302808
-0.25,0.75,-0.25,0.6885630791407054
-0.25,0.75,0.0,0.6632838725989949
-0.25,1.0,-0.25,0.7240488689963681
0.0,-1.0,0.0,0.7445811134921088
0.0,-0.75,-0.25,0.6767757427173839
0.0,-0.75,0.0,0.6861693199385387
0.0,-0.75,0.25,0.6910747960525656
0.0,-0.5,-0.5,0.6499012907007574
0.0,-0.5,-0.25,0.6370212710627713
0.0,-0.5,0.0,0.6328230502453177
0.0,-0.5,0.25,0.6409341577081742
0.0,-0.5,0.5,0.6297558560307195
0.0,-0.25,-0.75,0.6821307129675684
0.0,-0.25,-0.5,0.6263960064351645
0.0,-0.25,-0.25,0.5992040474684946
0.0,-0.25,0.0,0.5792039484933078
0.0,-0.25,0.25,0.5910082227721334
0.0,-0.25,0.5,0.6118023220573783
0.0,-0.25,0.75,0.6598271619638522
0.0,0.0,-1.0,0.733704136998125
0.0,0.0,-0.75,0.6980943332941313
0.0,0.0,-0.5,0.5924696396882998
0.0,0.0,-0.25,0.5612684856789163
0.0,0.0,0.0,0.5533718942674571
0.0,0.0,0.25,0.5814611240033293
0.0,0.0,0.5,0.6055167887974416
0.0,0.0,0.75,0.6597937680181316
0.0,0.0,1.0,0.7038294086411234
0.0,0.25,-0.75,0.6725381085454949
0.0,0.25,-0.5,0.6471106898247159
0.0,0.25,-0.25,0.5806959128747586
0.0,0.25,0.0,0.5553531394773424
0.0,0.25,0.25,0.5931342405891129
0.0,0.25,0.5,0.6046352160579199
0.0,0.25,0.75,0.6811381794869266
0.0,0.5,-0.5,0.6604321985932673
0.0,0.5,-0.25,0.6248176442116795
0.0,0.5,0.0,0.6090624920795853
0.0,0.5,0.25,0.6105521020131064
0.0,0.5,0.5,0.6327102094498515
0.0,0.75,-0.25,0.6571734335801045
0.0,0.75,0.0,0.6521375929911851
0.0,0.75,0.25,0.6560365637118651
0.0,1.0,0.0,0.7429020722318174
0.25,-1.0,-0.25,0.7527012568737432
0.25,-0.75,-0.5,0.7137436428691633
0.25,-0.75,-0.25,0.6805668099000431
0.25,-0.75,0.0,0.686554316439195
0.25,-0.5,-0.75,0.6939834700980136
0.25,-0.5,-0.5,0.6553324059797055
0.25,-0.5,-0.25,0.6327254040561959
0.25,-0.5,0.0,0.6314072860502002
