lambda1, lambda2, lambda3, fidelidad,,,
-1,-1,1,0.835886848,,,
-1,-0.75,0.75,0.771260706,,,
-1,-0.5,0.5,0.725038809,,,
-1,-0.25,0.25,0.717247948,,,
-1,0,0,0.731294997,,,
-1,0.25,-0.25,0.69770135,,0.538990124,0.922019752
-1,0.5,-0.5,0.703379497,,0.84907063,0.301858739
-1,0.75,-0.75,0.755700479,,,
-1,1,-1,0.783995188,,,
-0.75,-1,0.75,0.78653833,,,
-0.75,-0.75,0.5,0.75038224,,,
-0.75,-0.75,0.75,0.746357129,,,
-0.75,-0.75,1,0.779857701,,,
-0.75,-0.5,0.25,0.654097191,,,
-0.75,-0.5,0.5,0.665194916,,,
-0.75,-0.5,0.75,0.73626646,,,
-0.75,-0.25,0,0.690018503,,,
-0.75,-0.25,0.25,0.676158326,,,
-0.75,-0.25,0.5,0.662548381,,,
-0.75,0,-0.25,0.67070766,,,
-0.75,0,0,0.682681995,,,
-0.75,0,0.25,0.661924558,,,
-0.75,0.25,-0.5,0.677120621,,,
-0.75,0.25,-0.25,0.680538121,,,
-0.75,0.25,0,0.699920972,,,
-0.75,0.5,-0.75,0.679227935,,,
-0.75,0.5,-0.5,0.696957127,,,
-0.75,0.5,-0.25,0.680242484,,,
-0.75,0.75,-1,0.757640603,,,
-0.75,0.75,-0.75,0.731948463,,,
-0.75,0.75,-0.5,0.685093738,,,
-0.75,1,-0.75,0.769710443,,,
-0.5,-1,0.5,0.713058794,,,
-0.5,-0.75,0.25,0.658774808,,,
-0.5,-0.75,0.5,0.720478486,,,
-0.5,-0.75,0.75,0.729620116,,,
-0.5,-0.5,0,0.667363758,,,
-0.5,-0.5,0.25,0.632374314,,,
-0.5,-0.5,0.5,0.674122312,,,
-0.5,-0.5,0.75,0.699361865,,,
-0.5,-0.5,1,0.726704466,,,
-0.5,-0.25,-0.25,0.595201158,,,
-0.5,-0.25,0,0.641856308,,,
-0.5,-0.25,0.25,0.598903223,,,
-0.5,-0.25,0.5,0.647382732,,,
-0.5,-0.25,0.75,0.677030262,,,
-0.5,0,-0.5,0.630094068,,,
-0.5,0,-0.25,0.635906831,,,
-0.5,0,0,0.602560419,,,
-0.5,0,0.25,0.600634085,,,
-0.5,0,0.5,0.616407674,,,
-0.5,0.25,-0.75,0.671099052,,,
-0.5,0.25,-0.5,0.612204172,,,
-0.5,0.25,-0.25,0.615902288,,,
