lambda1, lambda2, lambda3, fidelidad
-1.0,-1.0,1.0,0.8907692383148402
-1.0,-0.75,0.75,0.826041525986785
-1.0,-0.5,0.5,0.798459296698433
-1.0,-0.25,0.25,0.7896477392422016
-1.0,0.0,0.0,0.7871584018478079
-1.0,0.25,-0.25,0.7862817861612365
-1.0,0.5,-0.5,0.7953105860371843
-1.0,0.75,-0.75,0.8267335765809712
-1.0,1.0,-1.0,0.888453982599009
-0.75,-1.0,0.75,0.8269307982378766
-0.75,-0.75,0.5,0.7598672221341896
-0.75,-0.75,0.75,0.79290645333544
-0.75,-0.75,1.0,0.8267953381966764
-0.75,-0.5,0.25,0.7263439410876426
-0.75,-0.5,0.5,0.7320286296205958
-0.75,-0.5,0.75,0.7633052321088285
-0.75,-0.25,0.0,0.7179842411699255
-0.75,-0.25,0.25,0.7216650368755821
-0.75,-0.25,0.5,0.7289762310485683
-0.75,0.0,-0.25,0.7176188417203306
-0.75,0.0,0.0,0.7175005233716694
-0.75,0.0,0.25,0.7177551190994779
-0.75,0.25,-0.5,0.7268364820798648
-0.75,0.25,-0.25,0.7206464621393383
-0.75,0.25,0.0,0.7188477111455773
-0.75,0.5,-0.75,0.7642841339974193
-0.75,0.5,-0.5,0.7313291623939828
-0.75,0.5,-0.25,0.7253068939933268
-0.75,0.75,-1.0,0.8259524491200363
-0.75,0.75,-0.75,0.7963828783315958
-0.75,0.75,-0.5,0.7641838872878068
-0.75,1.0,-0.75,0.8232991623001099
-0.5,-1.0,0.5,0.7859218047732255
-0.5,-0.75,0.25,0.7158400799594786
-0.5,-0.75,0.5,0.7272332362768912
-0.5,-0.75,0.75,0.7604628219442959
-0.5,-0.5,0.0,0.6658833303864573
-0.5,-0.5,0.25,0.6701572133411848
-0.5,-0.5,0.5,0.6970627033976182
-0.5,-0.5,0.75,0.7340605826403231
-0.5,-0.5,1.0,0.7982562642019086
-0.5,-0.25,-0.25,0.654438740819149
-0.5,-0.25,0.0,0.6501434113090421
-0.5,-0.25,0.25,0.656178919537981
-0.5,-0.25,0.5,0.6788900379253711
-0.5,-0.25,0.75,0.730377936268684
-0.5,0.0,-0.5,0.6765052526671862
-0.5,0.0,-0.25,0.6508446309723778
-0.5,0.0,0.0,0.6519328713223255
-0.5,0.0,0.25,0.6526935010445208
-0.5,0.0,0.5,0.6766317423531278
-0.5,0.25,-0.75,0.7260016161090814
-0.5,0.25,-0.5,0.673489510498965
-0.5,0.25,-0.25,0.6546153517833064
-0.5,0.25,0.0,0.6522592349721457
-0.5,0.25,0.25,0.654269401225166
-0.5,0.5,-1.0,0.7945499486500346
-0.5,0.5,-0.75,0.7304673047458904
-0.5,0.5,-0.5,0.6943457196980469
-0.5,0.5,-0.25,0.6696525972540583
-0.5,0.5,0.0,0.6675935714729095
-0.5,0.75,-0.75,0.7620366641105801
-0.5,0.75,-0.5,0.7303921070202367
-0.5,0.75,-0.25,0.7206499079653068
-0.5,1.0,-0.5,0.7951252124486722
-0.25,-1.0,0.25,0.7808228203736634
-0.25,-0.75,0.0,0.7145875233091367
-0.25,-0.75,0.25,0.7145712593411524
-0.25,-0.75,0.5,0.7195000599966449
-0.25,-0.5,-0.25,0.6497632704285892
-0.25,-0.5,0.0,0.6452105375334799
-0.25,-0.5,0.25,0.6446961341613489
-0.25,-0.5,0.5,0.6687200784611329
-0.25,-0.5,0.75,0.7280285768519161
-0.25,-0.25,-0.5,0.6531949831888711
-0.25,-0.25,-0.25,0.6015328096165652
-0.25,-0.25,0.0,0.5885463778797847
-0.25,-0.25,0.25,0.6007346693442637
-0.25,-0.25,0.5,0.6560297123190164
-0.25,-0.25,0.75,0.7225871868184046
-0.25,-0.25,1.0,0.7906171853333912
-0.25,0.0,-0.75,0.7209768010686778
-0.25,0.0,-0.5,0.651289128032853
