lambda1, lambda2, lambda3, fidelidad
-0.9047619047619048,0.4285714285714284,-0.5,0.770333843346424
-0.9047619047619048,0.5238095238095237,-0.5,0.7720979513554355
-0.8095238095238095,0.33333333333333326,-0.5,0.7429600755155503
-0.8095238095238095,0.4285714285714284,-0.5,0.7410578616004517
-0.8095238095238095,0.5238095238095237,-0.5,0.7454858203572171
-0.8095238095238095,0.6190476190476191,-0.5,0.757074524108442
-0.7142857142857143,0.23809523809523814,-0.5,0.7170756063025718
-0.7142857142857143,0.33333333333333326,-0.5,0.7178137131532747
-0.7142857142857143,0.4285714285714284,-0.5,0.7199185757766424
-0.7142857142857143,0.5238095238095237,-0.5,0.72768270649418
-0.7142857142857143,0.6190476190476191,-0.5,0.7399980954700958
-0.7142857142857143,0.7142857142857142,-0.5,0.754323007058671
-0.6190476190476191,0.1428571428571428,-0.5,0.6964801311122677
-0.6190476190476191,0.23809523809523814,-0.5,0.6951825680125032
-0.6190476190476191,0.33333333333333326,-0.5,0.6939635329472074
-0.6190476190476191,0.4285714285714284,-0.5,0.6982894032475562
-0.6190476190476191,0.5238095238095237,-0.5,0.7184041406986168
-0.6190476190476191,0.6190476190476191,-0.5,0.7251494750741702
-0.6190476190476191,0.7142857142857142,-0.5,0.7367938578237863
-0.6190476190476191,0.8095238095238093,-0.5,0.7539974155301565
-0.5238095238095238,0.04761904761904745,-0.5,0.6774501437314596
-0.5238095238095238,0.1428571428571428,-0.5,0.6784336078071411
-0.5238095238095238,0.23809523809523814,-0.5,0.6773277545263048
-0.5238095238095238,0.33333333333333326,-0.5,0.6812481728905511
-0.5238095238095238,0.4285714285714284,-0.5,0.6912705159830551
-0.5238095238095238,0.5238095238095237,-0.5,0.7013247494662367
-0.5238095238095238,0.6190476190476191,-0.5,0.7147539842166504
-0.5238095238095238,0.7142857142857142,-0.5,0.7289383869149827
-0.5238095238095238,0.8095238095238093,-0.5,0.7424167793933046
-0.5238095238095238,0.9047619047619047,-0.5,0.7656318826432166
-0.4285714285714286,-0.04761904761904767,-0.5,0.6652515434744979
-0.4285714285714286,0.04761904761904745,-0.5,0.6635028534617979
-0.4285714285714286,0.1428571428571428,-0.5,0.6627994013721626
-0.4285714285714286,0.23809523809523814,-0.5,0.6616745168487402
-0.4285714285714286,0.33333333333333326,-0.5,0.6651692164544125
-0.4285714285714286,0.4285714285714284,-0.5,0.6806253967404003
-0.4285714285714286,0.5238095238095237,-0.5,0.6899199067406933
-0.4285714285714286,0.6190476190476191,-0.5,0.7035210462936554
-0.4285714285714286,0.7142857142857142,-0.5,0.7191958099396282
-0.4285714285714286,0.8095238095238093,-0.5,0.7445060121861562
-0.4285714285714286,0.9047619047619047,-0.5,0.7644424857741017
-0.33333333333333337,-0.1428571428571429,-0.5,0.6573777560204122
-0.33333333333333337,-0.04761904761904767,-0.5,0.6553991819146081
-0.33333333333333337,0.04761904761904745,-0.5,0.6555209400369635
-0.33333333333333337,0.1428571428571428,-0.5,0.6505220234793581
-0.33333333333333337,0.23809523809523814,-0.5,0.6544185947315974
-0.33333333333333337,0.33333333333333326,-0.5,0.6557969454790002
-0.33333333333333337,0.4285714285714284,-0.5,0.6675095938954916
-0.33333333333333337,0.5238095238095237,-0.5,0.6794264366126966
-0.33333333333333337,0.6190476190476191,-0.5,0.6908423223532314
-0.33333333333333337,0.7142857142857142,-0.5,0.7139126219283982
-0.33333333333333337,0.8095238095238093,-0.5,0.7368715684126118
-0.23809523809523814,-0.23809523809523814,-0.5,0.6533288231073369
-0.23809523809523814,-0.1428571428571429,-0.5,0.6516509807703245
-0.23809523809523814,-0.04761904761904767,-0.5,0.6470915196658613
-0.23809523809523814,0.04761904761904745,-0.5,0.64983063518847
-0.23809523809523814,0.1428571428571428,-0.5,0.6495095426471522
-0.23809523809523814,0.23809523809523814,-0.5,0.6496231689535298
-0.23809523809523814,0.33333333333333326,-0.5,0.6532873511090801
-0.23809523809523814,0.4285714285714284,-0.5,0.6596328299170879
-0.23809523809523814,0.5238095238095237,-0.5,0.6676969502800951
-0.23809523809523814,0.6190476190476191,-0.5,0.6904434127563771
-0.23809523809523814,0.7142857142857142,-0.5,0.7175978502736607
-0.1428571428571429,-0.33333333333333337,-0.5,0.6583612813769374
-0.1428571428571429,-0.23809523809523814,-0.5,0.6531856080322695
-0.1428571428571429,-0.1428571428571429,-0.5,0.6506738695529143
-0.1428571428571429,-0.04761904761904767,-0.5,0.6463993744067967
-0.1428571428571429,0.04761904761904745,-0.5,0.647507977130071
-0.1428571428571429,0.1428571428571428,-0.5,0.6483073235408485
-0.1428571428571429,0.23809523809523814,-0.5,0.6485335759250849
-0.1428571428571429,0.33333333333333326,-0.5,0.6577714778852809
-0.1428571428571429,0.4285714285714284,-0.5,0.6563342574766147
-0.1428571428571429,0.5238095238095237,-0.5,0.6733983207927382
-0.1428571428571429,0.6190476190476191,-0.5,0.6964483354662885
-0.04761904761904767,-0.4285714285714286,-0.5,0.6651585227789039
-0.04761904761904767,-0.33333333333333337,-0.5,0.6589785422284442
-0.04761904761904767,-0.23809523809523814,-0.5,0.6531561763791022
-0.04761904761904767,-0.1428571428571429,-0.5,0.6499382600026513
