lambda1, lambda2, lambda3, fidelidad
-1.0,1.0,-1.0,0.8944622384587704
-0.96,0.96,-1.0,0.8793486730587956
-0.92,0.92,-1.0,0.8705195695129961
-0.88,0.88,-1.0,0.8606672268601477
-0.84,0.84,-1.0,0.8488338939162039
-0.8,0.8,-1.0,0.8396462090809567
-0.76,0.76,-1.0,0.8322531078540825
-0.72,0.72,-1.0,0.8189164383765491
-0.68,0.68,-1.0,0.807400217207396
-0.64,0.64,-1.0,0.7998690639827184
-0.6,0.6,-1.0,0.7984715388876358
-0.56,0.56,-1.0,0.7966818279003585
-0.52,0.52,-1.0,0.794498386163743
-0.48,0.48,-1.0,0.7901508578723124
-0.44,0.44,-1.0,0.7885745134980741
-0.4,0.4,-1.0,0.7895978923498372
-0.36,0.36,-1.0,0.7876283361453663
-0.32,0.32,-1.0,0.784108621897701
-0.28,0.28,-1.0,0.7871133407242163
-0.24,0.24,-1.0,0.78644967402111
-0.2,0.2,-1.0,0.7886612091616613
-0.16,0.16,-1.0,0.7864329685691704
-0.12,0.12,-1.0,0.7862927351778788
-0.08,0.08,-1.0,0.7882468737703887
-0.04,0.04,-1.0,0.7875558430095894
0.0,0.0,-1.0,0.7905428854146803
0.04,-0.04,-1.0,0.788220070116169
0.08,-0.08,-1.0,0.7901423236928249
0.12,-0.12,-1.0,0.791819091826967
0.16,-0.16,-1.0,0.792365455830016
0.2,-0.2,-1.0,0.7932050653519973
0.24,-0.24,-1.0,0.7946965927173371
0.28,-0.28,-1.0,0.7986504476959713
0.32,-0.32,-1.0,0.7936113419914457
0.36,-0.36,-1.0,0.8023871164176879
0.4,-0.4,-1.0,0.8013674037582631
0.44,-0.44,-1.0,0.8032122264305683
0.48,-0.48,-1.0,0.809571182664251
0.52,-0.52,-1.0,0.8131824605132922
0.56,-0.56,-1.0,0.8173192006323788
0.6,-0.6,-1.0,0.8182113683995325
0.64,-0.64,-1.0,0.821999574083752
0.68,-0.68,-1.0,0.8246704770704902
0.72,-0.72,-1.0,0.8294682428817823
0.76,-0.76,-1.0,0.8371800756147778
0.8,-0.8,-1.0,0.8477558600397721
0.84,-0.84,-1.0,0.8572887731950629
0.88,-0.88,-1.0,0.8720478577633424
0.92,-0.92,-1.0,0.8799473226268941
0.96,-0.96,-1.0,0.8913891631373021
