lambda1, lambda2, lambda3, fidelidad
-0.9047619047619048,-0.5238095238095238,0.5,0.77111679398569
-0.9047619047619048,-0.4285714285714286,0.5,0.7701404302354802
-0.8095238095238095,-0.6190476190476191,0.5,0.7517816714605245
-0.8095238095238095,-0.5238095238095238,0.5,0.7455454264998769
-0.8095238095238095,-0.4285714285714286,0.5,0.7470316139134608
-0.8095238095238095,-0.33333333333333337,0.5,0.7476174615872151
-0.7142857142857143,-0.7142857142857143,0.5,0.7512527712834858
-0.7142857142857143,-0.6190476190476191,0.5,0.7416944600047104
-0.7142857142857143,-0.5238095238095238,0.5,0.7271067713294863
-0.7142857142857143,-0.4285714285714286,0.5,0.7228248511911626
-0.7142857142857143,-0.33333333333333337,0.5,0.7186027564621369
-0.7142857142857143,-0.23809523809523814,0.5,0.7254485393752635
-0.6190476190476191,-0.8095238095238095,0.5,0.7517308162834613
-0.6190476190476191,-0.7142857142857143,0.5,0.7403258202725148
-0.6190476190476191,-0.6190476190476191,0.5,0.7273601350675307
-0.6190476190476191,-0.5238095238095238,0.5,0.7133234013929858
-0.6190476190476191,-0.4285714285714286,0.5,0.7031378212010465
-0.6190476190476191,-0.33333333333333337,0.5,0.6998982035136001
-0.6190476190476191,-0.23809523809523814,0.5,0.698540463154787
-0.6190476190476191,-0.1428571428571429,0.5,0.699568458469535
-0.5238095238095238,-0.9047619047619048,0.5,0.7617411615216374
-0.5238095238095238,-0.8095238095238095,0.5,0.7411445810622463
-0.5238095238095238,-0.7142857142857143,0.5,0.7267916478695844
-0.5238095238095238,-0.6190476190476191,0.5,0.7161678105203249
-0.5238095238095238,-0.5238095238095238,0.5,0.6992419058933306
-0.5238095238095238,-0.4285714285714286,0.5,0.6913402498362267
-0.5238095238095238,-0.33333333333333337,0.5,0.6804913220126297
-0.5238095238095238,-0.23809523809523814,0.5,0.6829708008583834
-0.5238095238095238,-0.1428571428571429,0.5,0.6808382826565209
-0.5238095238095238,-0.04761904761904767,0.5,0.6830655281273488
-0.4285714285714286,-0.9047619047619048,0.5,0.7592133425183488
-0.4285714285714286,-0.8095238095238095,0.5,0.7360510364630968
-0.4285714285714286,-0.7142857142857143,0.5,0.7146428961467408
-0.4285714285714286,-0.6190476190476191,0.5,0.7030901432634722
-0.4285714285714286,-0.5238095238095238,0.5,0.6918515567674383
-0.4285714285714286,-0.4285714285714286,0.5,0.6762613026087863
-0.4285714285714286,-0.33333333333333337,0.5,0.6694913560723966
-0.4285714285714286,-0.23809523809523814,0.5,0.6682781357597941
-0.4285714285714286,-0.1428571428571429,0.5,0.6700100834949472
-0.4285714285714286,-0.04761904761904767,0.5,0.6704075658927537
-0.4285714285714286,0.04761904761904745,0.5,0.6673587201098515
-0.33333333333333337,-0.8095238095238095,0.5,0.7378345357120987
-0.33333333333333337,-0.7142857142857143,0.5,0.712621820948584
-0.33333333333333337,-0.6190476190476191,0.5,0.6923386390168552
-0.33333333333333337,-0.5238095238095238,0.5,0.6764205164547196
-0.33333333333333337,-0.4285714285714286,0.5,0.6668048878847784
-0.33333333333333337,-0.33333333333333337,0.5,0.6622917022914548
-0.33333333333333337,-0.23809523809523814,0.5,0.6559904010915202
-0.33333333333333337,-0.1428571428571429,0.5,0.6560928859891481
-0.33333333333333337,-0.04761904761904767,0.5,0.6586732356955599
-0.33333333333333337,0.04761904761904745,0.5,0.6587806674356873
-0.33333333333333337,0.1428571428571428,0.5,0.6586835058135707
