lambda1, lambda2, lambda3, fidelidad
-1.0,-1.0,1,0.8933292628797516
-0.9591836734693877,-0.9591836734693877,1,0.8784890204730634
-0.9183673469387755,-0.9183673469387755,1,0.8673102160972623
-0.8775510204081632,-0.8775510204081632,1,0.8562666009858522
-0.8367346938775511,-0.8367346938775511,1,0.8489078372653047
-0.7959183673469388,-0.7959183673469388,1,0.837252330497341
-0.7551020408163265,-0.7551020408163265,1,0.8281090429345561
-0.7142857142857143,-0.7142857142857143,1,0.8168033300440001
-0.6734693877551021,-0.6734693877551021,1,0.8056232158484805
-0.6326530612244898,-0.6326530612244898,1,0.8039701349702755
-0.5918367346938775,-0.5918367346938775,1,0.8001072069716015
-0.5510204081632654,-0.5510204081632654,1,0.7998684186361393
-0.5102040816326531,-0.5102040816326531,1,0.7967937180935696
-0.4693877551020409,-0.4693877551020409,1,0.7987714616094711
-0.4285714285714286,-0.4285714285714286,1,0.7937245441199146
-0.3877551020408164,-0.3877551020408164,1,0.7939886114736228
-0.34693877551020413,-0.34693877551020413,1,0.7917166248160069
-0.30612244897959184,-0.30612244897959184,1,0.7919869298659332
-0.26530612244897966,-0.26530612244897966,1,0.7914501265907079
-0.22448979591836737,-0.22448979591836737,1,0.7915294282546927
-0.1836734693877552,-0.1836734693877552,1,0.7908177158712442
-0.1428571428571429,-0.1428571428571429,1,0.791065148987869
-0.10204081632653073,-0.10204081632653073,1,0.7867747031940011
-0.061224489795918435,-0.061224489795918435,1,0.7888150762378314
-0.020408163265306145,-0.020408163265306145,1,0.7875637177430581
0.020408163265306145,0.020408163265306145,1,0.7880558042342072
0.06122448979591821,0.06122448979591821,1,0.7915747721744859
0.1020408163265305,0.1020408163265305,1,0.7903459174236673
0.1428571428571428,0.1428571428571428,1,0.7920822172347542
0.18367346938775508,0.18367346938775508,1,0.7950072121635368
0.22448979591836715,0.22448979591836715,1,0.7951456860094193
0.26530612244897944,0.26530612244897944,1,0.7953334850480287
0.30612244897959173,0.30612244897959173,1,0.7963478669320403
0.346938775510204,0.346938775510204,1,0.7983026533550159
0.3877551020408163,0.3877551020408163,1,0.8035812496057491
0.4285714285714284,0.4285714285714284,1,0.8036891690132721
0.46938775510204067,0.46938775510204067,1,0.8064426193858033
0.510204081632653,0.510204081632653,1,0.8083086826934388
0.5510204081632653,0.5510204081632653,1,0.8077513684424815
0.5918367346938773,0.5918367346938773,1,0.8133670842934506
0.6326530612244896,0.6326530612244896,1,0.8159312896991835
0.6734693877551019,0.6734693877551019,1,0.8180194567684185
0.7142857142857142,0.7142857142857142,1,0.8240735039682541
0.7551020408163265,0.7551020408163265,1,0.8369855482568991
0.7959183673469385,0.7959183673469385,1,0.8449952662484321
0.8367346938775508,0.8367346938775508,1,0.8566918627768478
0.8775510204081631,0.8775510204081631,1,0.8662937782828692
0.9183673469387754,0.9183673469387754,1,0.876844268448622
0.9591836734693877,0.9591836734693877,1,0.8897826708423215
1.0,1.0,1,0.8984287215159548
