tau1,tau2,tau3,fidelity
-1.0,-1.0,1.0,0.5873106118751463
-1.0,-0.75,0.75,0.6501328263670361
-1.0,-0.5,0.5,0.7031934266337492
-1.0,-0.25,0.25,0.7006603167290402
-1.0,0.0,0.0,0.7079751088441371
-1.0,0.25,-0.25,0.7103754615990048
-1.0,0.5,-0.5,0.715539145367763
-1.0,0.75,-0.75,0.659472622271404
-1.0,1.0,-1.0,0.6021994076989344
-0.75,-1.0,0.75,0.6457415161064681
-0.75,-0.75,0.5,0.7150650464151653
-0.75,-0.75,0.75,0.6840615315976468
-0.75,-0.75,1.0,0.6481182094007647
-0.75,-0.5,0.25,0.7610678159385674
-0.75,-0.5,0.5,0.7450113746718886
-0.75,-0.5,0.75,0.7210235230378932
-0.75,-0.25,0.0,0.7660178694604995
-0.75,-0.25,0.25,0.7644016975046612
-0.75,-0.25,0.5,0.7629425431049146
-0.75,0.0,-0.25,0.7740686494746302
-0.75,0.0,0.0,0.7748803016638736
-0.75,0.0,0.25,0.7648622261449999
-0.75,0.25,-0.5,0.774472915989443
-0.75,0.25,-0.25,0.7733008647910151
-0.75,0.25,0.0,0.7704359918895912
-0.75,0.5,-0.75,0.7284422942599064
-0.75,0.5,-0.5,0.7586311564540918
-0.75,0.5,-0.25,0.7783878659312088
-0.75,0.75,-1.0,0.6634129016036134
-0.75,0.75,-0.75,0.6972708215857739
-0.75,0.75,-0.5,0.736071829371147
-0.75,1.0,-0.75,0.6587369170405137
-0.5,-1.0,0.5,0.7123286601584566
-0.5,-0.75,0.25,0.7749595292245073
-0.5,-0.75,0.5,0.7493052596952774
-0.5,-0.75,0.75,0.7124287556449589
-0.5,-0.5,0.0,0.8236954067609785
-0.5,-0.5,0.25,0.8133609628419821
-0.5,-0.5,0.5,0.7783536489534519
-0.5,-0.5,0.75,0.743524940607188
-0.5,-0.5,1.0,0.7076535510399357
-0.5,-0.25,-0.25,0.8312393455352225
-0.5,-0.25,0.0,0.8271967730289373
-0.5,-0.25,0.25,0.8223812024384577
-0.5,-0.25,0.5,0.8149132542991011
-0.5,-0.25,0.75,0.7768407984380625
-0.5,0.0,-0.5,0.8284644692828648
-0.5,0.0,-0.25,0.8303072998542244
-0.5,0.0,0.0,0.8315726437281952
-0.5,0.0,0.25,0.8261136221262604
-0.5,0.0,0.5,0.8264417930406981
-0.5,0.25,-0.75,0.772017500094101
-0.5,0.25,-0.5,0.818753071012649
-0.5,0.25,-0.25,0.8421831733996255
-0.5,0.25,0.0,0.836596778738156
-0.5,0.25,0.25,0.8301804385476824
-0.5,0.5,-1.0,0.7100104962432359
