p,fid
0.0,0.851669065196532
0.04,0.8516081776759419
0.08,0.8800771182465161
0.12,0.8680482043215143
0.16,0.8673023794917236
0.2,0.8720592529670121
0.24,0.8752001040073263
0.28,0.859520352348229
0.32,0.8593779104538902
0.36,0.8647687355142262
0.4,0.8657304238844911
0.44,0.8796130058013796
0.48,0.8753669439274651
0.52,0.8714206855883001
0.56,0.8663975537956871
0.6,0.8782334952035432
0.64,0.8706060833696608
0.68,0.8665794778280685
0.72,0.8706418281360305
0.76,0.8529204903522116
0.8,0.8739323642255299
0.84,0.8688405647871039
0.88,0.8693803955073793
0.92,0.8747294068572495
0.96,0.8626019439071347
