lambda1, lambda2, lambda3, fidelidad
-1.0,-1.0,1.0,0.5845941503800971
-1.0,-0.75,0.75,0.6557299587291437
-1.0,-0.5,0.5,0.6942340445981934
-1.0,-0.25,0.25,0.707353890501953
-1.0,0.0,0.0,0.712689352365295
-1.0,0.25,-0.25,0.7106740605451347
-1.0,0.5,-0.5,0.7125830307376142
-1.0,0.75,-0.75,0.6693836617663442
-1.0,1.0,-1.0,0.5994004190546056
-0.75,-1.0,0.75,0.6482700614706115
-0.75,-0.75,0.5,0.7136013768301455
-0.75,-0.75,0.75,0.6797147492100462
-0.75,-0.75,1.0,0.6522507294344491
-0.75,-0.5,0.25,0.7651524620029584
-0.75,-0.5,0.5,0.7553748059000313
-0.75,-0.5,0.75,0.7149331145286921
-0.75,-0.25,0.0,0.763968703336218
-0.75,-0.25,0.25,0.7649523038161208
-0.75,-0.25,0.5,0.7594378289346584
-0.75,0.0,-0.25,0.7711295177330548
-0.75,0.0,0.0,0.7738444279666304
-0.75,0.0,0.25,0.7685444004610895
-0.75,0.25,-0.5,0.7737334649472862
-0.75,0.25,-0.25,0.7773115709596319
-0.75,0.25,0.0,0.7748236899212755
-0.75,0.5,-0.75,0.7229943592251344
-0.75,0.5,-0.5,0.7543223720608164
-0.75,0.5,-0.25,0.777119766812073
-0.75,0.75,-1.0,0.6646537311347855
-0.75,0.75,-0.75,0.6938443192295627
-0.75,0.75,-0.5,0.7300327866419121
-0.75,1.0,-0.75,0.664887123890691
-0.5,-1.0,0.5,0.7101575594431093
-0.5,-0.75,0.25,0.7819170989857627
-0.5,-0.75,0.5,0.7573145146997033
-0.5,-0.75,0.75,0.7173190744695214
-0.5,-0.5,0.0,0.8316332930482229
-0.5,-0.5,0.25,0.8164719731461131
-0.5,-0.5,0.5,0.7820125825196985
-0.5,-0.5,0.75,0.7465363926777602
-0.5,-0.5,1.0,0.7081193760685041
-0.5,-0.25,-0.25,0.8330368478562036
-0.5,-0.25,0.0,0.8295641333533138
-0.5,-0.25,0.25,0.8248048648844095
-0.5,-0.25,0.5,0.8111236532258762
-0.5,-0.25,0.75,0.7791068923696233
-0.5,0.0,-0.5,0.8270754222624013
-0.5,0.0,-0.25,0.8345902982253242
-0.5,0.0,0.0,0.830323891459667
-0.5,0.0,0.25,0.8285399236122228
-0.5,0.0,0.5,0.8236359818715178
-0.5,0.25,-0.75,0.7762039918000072
-0.5,0.25,-0.5,0.8154519633159946
-0.5,0.25,-0.25,0.8374939355064018
-0.5,0.25,0.0,0.8361247127303372
-0.5,0.25,0.25,0.8368490994380307
-0.5,0.5,-1.0,0.7092546123527226
-0.5,0.5,-0.75,0.7514513283777272
